time,open,high,low,close,EMA,Volume
2014-11-20,16.12,16.32,15.955,16.137,19.064347164738937,45481
2014-11-21,16.255,16.6,16.095,16.395,19.03778649643308,73057
2014-11-24,16.365,16.47,16.245,16.376,19.011301058657626,58074
2014-11-25,16.435,16.69,16.435,16.553,18.986840351606308,71173
2014-11-26,16.715,16.715,16.515,16.606,18.963150397858982,35280
2014-11-28,16.54,16.575,15.41,15.556,18.929248403850433,72003
2014-12-01,15.39,16.81,14.155,16.692,18.906987225702668,119906
2014-12-02,16.495,16.535,16.07,16.456,18.882599293108612,60805
2014-12-03,16.465,16.595,16.235,16.412,18.858016215565243,37717
2014-12-04,16.425,16.68,16.375,16.575,18.835299636305887,32407
2014-12-05,16.475,16.56,16.22,16.258,18.80965486380533,38179
2014-12-08,16.25,16.44,16.165,16.276,18.784444367648064,24599
2014-12-09,16.36,17.23,16.29,17.134,18.768022035631667,66809
2014-12-10,17.125,17.355,16.95,17.187,18.752290473088067,47676
2014-12-11,17.065,17.24,16.945,17.112,18.735969174848385,34163
2014-12-12,17.11,17.23,17.01,17.057,18.71926301390462,29513
2014-12-15,17.05,17.08,16.135,16.563,18.697807660532433,43609
2014-12-16,16.205,16.665,15.54,15.752,18.66849614152216,73530
2014-12-17,15.755,16.06,15.615,15.928,18.641227523198555,47393
2014-12-18,15.755,16.23,15.74,15.934,18.61428993590305,33972
2014-12-19,15.875,16.11,15.83,16.03,18.58857560818262,22629
2014-12-22,16.15,16.175,15.53,15.688,18.55971415934498,33486
2014-12-23,15.675,15.895,15.56,15.767,18.531925958754485,24379
2014-12-24,15.775,15.865,15.68,15.71,18.503847093493246,11181
2014-12-26,15.78,16.305,15.765,16.147,18.480395878632617,16673
2014-12-29,16.08,16.255,15.72,15.779,18.453516317651196,26819
2014-12-30,15.81,16.48,15.75,16.276,18.431849488619843,36735
2014-12-31,16.25,16.31,15.545,15.599,18.40366193151915,26622
2015-01-02,15.73,16.06,15.51,15.768,18.37743643966324,31561
2015-01-05,15.795,16.26,15.63,16.213,18.355899758671566,47134
2015-01-06,16.16,16.74,16.115,16.637,18.33879627848578,43728
2015-01-07,16.575,16.66,16.3,16.544,18.320937609048112,35680
2015-01-08,16.545,16.665,16.305,16.385,18.301674548261563,27837
2015-01-09,16.375,16.625,16.21,16.419,18.28294146817936,33055
2015-01-12,16.495,16.69,16.43,16.564,18.265837572973595,25302
2015-01-13,16.59,17.215,16.57,17.156,18.25479441304351,64870
2015-01-14,17.07,17.095,16.56,16.988,18.24218949351074,47980
2015-01-15,16.84,17.24,16.71,17.102,18.23084432442108,58854
2015-01-16,16.965,17.865,16.89,17.75,18.226059803780075,66276
2015-01-20,17.84,18.045,17.63,17.956,18.223372641553407,61293
2015-01-21,18.01,18.505,17.915,18.193,18.223070426214566,58031
2015-01-22,18.16,18.49,17.89,18.36,18.224432909535814,44485
2015-01-23,18.335,18.415,18.12,18.3,18.225184820883715,32916
2015-01-26,18.3,18.49,17.865,17.983,18.22277502167094,35514
2015-01-27,17.92,18.215,17.405,18.084,18.221394175684164,33457
2015-01-28,18.045,18.175,17.945,18.088,18.220066870453476,28312
2015-01-29,18,18.05,16.74,16.773,18.20566819512558,76053
2015-01-30,16.99,17.32,16.815,17.208,18.19574114840791,45052
2015-02-02,17.155,17.34,16.995,17.251,18.186340738971015,31081
2015-02-03,17.24,17.75,17.07,17.321,18.177730383359364,49859
2015-02-04,17.33,17.67,17.17,17.395,18.16994202133589,40738
2015-02-05,17.37,17.5,16.92,17.196,18.160251055949463,40581
2015-02-06,17.28,17.37,16.545,16.694,18.145661493203697,61739
2015-02-09,16.785,17.145,16.685,17.07,18.134958393768834,39554
2015-02-10,16.965,17.095,16.715,16.873,18.122401593830837,38627
2015-02-11,16.93,17.075,16.71,16.761,18.108855309315107,40356
2015-02-12,16.795,17.04,16.605,16.794,18.095772171908987,39397
2015-02-13,16.84,17.43,16.835,17.294,18.08779433935268,49504
2015-02-17,17.325,17.4,16.26,16.378,18.070781460354144,82646
2015-02-18,16.48,16.575,16.23,16.265,18.052813485624252,51721
2015-02-19,16.445,16.77,16.32,16.381,18.03617852556829,40080
2015-02-20,16.345,16.555,16.16,16.273,18.018634460637262,45870
2015-02-23,16.255,16.59,16.065,16.254,18.001075908790124,45290
2015-02-24,16.3,16.455,16.04,16.188,17.983035352483753,42841
2015-02-25,16.285,16.7,16.28,16.43,17.967582264399336,49194
2015-02-26,16.535,16.905,16.52,16.624,17.95421328664412,41415
2015-02-27,16.565,16.7,16.425,16.558,17.940320617125273,28820
2015-03-02,16.575,16.79,16.35,16.451,17.92550150650711,26911
2015-03-03,16.405,16.58,16.07,16.296,17.909287561168732,41769
2015-03-04,16.26,16.36,16.055,16.158,17.89186181429143,25616
2015-03-05,16.22,16.355,16.14,16.158,17.874609457930323,22400
2015-03-06,16.185,16.235,15.745,15.807,17.854036229493204,44539
2015-03-09,15.93,15.96,15.705,15.776,17.833359252085312,24406
2015-03-10,15.72,15.825,15.58,15.633,17.811465130174017,33403
2015-03-11,15.625,15.73,15.26,15.365,17.78712219355537,40737
2015-03-12,15.47,15.685,15.385,15.516,17.764523962773723,29534
2015-03-13,15.565,15.66,15.455,15.494,17.741931684537168,22867
2015-03-16,15.63,15.755,15.49,15.617,17.720788085686053,26219
2015-03-17,15.625,15.72,15.36,15.578,17.699466811201614,35465
2015-03-18,15.53,16.095,15.43,15.541,17.677989529498117,38295
2015-03-19,15.93,16.205,15.795,16.114,17.66242744462749,40543
2015-03-20,16.125,16.89,16.08,16.883,17.65467194766602,60334
2015-03-23,16.755,17.09,16.61,16.891,17.647073221818598,43227
2015-03-24,16.995,17.04,16.805,16.983,17.64046552806916,36515
2015-03-25,16.935,17.14,16.84,17,17.63409273674509,29960
2015-03-26,16.97,17.405,16.91,17.14,17.629176391105833,45162
2015-03-27,17.085,17.195,16.855,17.069,17.62360249666697,40122
2015-03-30,16.99,16.99,16.625,16.674,17.614153715605607,32062
2015-03-31,16.705,16.82,16.435,16.598,17.604042733360775,35811
2015-04-01,16.62,17.075,16.5,17.059,17.598619422581066,42377
2015-04-02,16.935,17,16.57,16.701,17.58968788603797,38399
2015-04-06,16.995,17.31,16.935,17.11,17.58491487224655,33619
2015-04-07,16.96,16.975,16.73,16.84,17.57750278396549,29741
2015-04-08,16.845,16.905,16.37,16.454,17.56632365178673,48351
2015-04-09,16.5,16.51,16.105,16.176,17.552489585599794,46100
2015-04-10,16.14,16.65,16.14,16.382,17.540842923056513,50099
2015-04-13,16.42,16.51,16.225,16.291,17.528406675065902,35535
2015-04-14,16.28,16.34,15.955,16.161,17.514800638498084,45454
2015-04-15,16.145,16.37,16.045,16.279,17.502504114731934,41454
2015-04-16,16.29,16.475,16.1,16.284,17.490379695679874,45033
2015-04-17,16.26,16.49,16.185,16.229,17.477828653931816,40039
2015-04-20,16.275,16.34,15.82,15.889,17.462019413594184,54536
2015-04-21,15.92,16.165,15.86,16.008,17.447551558732552,53046
2015-04-22,15.965,16.075,15.655,15.796,17.431118209889444,53971
2015-04-23,15.76,15.92,15.705,15.829,17.415176735164177,45097
2015-04-24,15.84,15.885,15.55,15.636,17.397473484068016,62397
2015-04-27,15.73,16.445,15.68,16.394,17.38748867328127,75679
2015-04-28,16.375,16.66,16.275,16.591,17.379563412850608,60635
2015-04-29,16.62,16.725,16.415,16.702,17.37282148834463,55487
2015-04-30,16.575,16.73,15.8,16.153,17.360683961097422,63637
2015-05-01,16.145,16.26,15.895,16.135,17.348488100787996,32286
2015-05-04,16.13,16.765,16.125,16.441,17.339458368441846,46035
2015-05-05,16.4,16.705,16.345,16.579,17.3318916185071,32828
2015-05-06,16.54,16.65,16.385,16.506,17.323673791457278,31191
2015-05-07,16.535,16.555,16.16,16.297,17.313458131840786,37264
2015-05-08,16.305,16.555,16.26,16.465,17.305015762369734,32980
2015-05-11,16.415,16.55,16.2,16.314,17.295154909012822,33892
2015-05-12,16.285,16.595,16.12,16.526,17.287501626336077,38559
2015-05-13,16.52,17.235,16.48,17.221,17.28683991861134,77187
2015-05-14,17.16,17.585,17.07,17.465,17.288612655739584,63924
2015-05-15,17.46,17.585,17.205,17.563,17.291342878070534,47597
2015-05-18,17.535,17.775,17.475,17.732,17.29572752604993,39804
2015-05-19,17.705,17.735,16.87,17.071,17.293491431263362,59140
2015-05-20,17.095,17.28,16.935,17.113,17.291695496623927,34826
2015-05-21,17.1,17.25,17,17.132,17.29010648670727,21286
2015-05-22,17.14,17.335,16.94,17.051,17.287727317685306,31247
2015-05-26,17.05,17.18,16.645,16.746,17.2823369961163,48457
2015-05-27,16.735,16.81,16.58,16.647,17.276015234960912,31979
2015-05-28,16.675,16.775,16.54,16.669,17.269975282374237,35366
2015-05-29,16.67,16.85,16.64,16.701,17.264313836778474,30474
2015-06-01,16.695,17.17,16.59,16.68,17.258499768750827,56485
2015-06-02,16.725,16.84,16.61,16.799,17.253927631748333,41683
2015-06-03,16.775,16.795,16.375,16.48,17.246226859293124,56525
2015-06-04,16.48,16.5,16.065,16.103,17.234851467658366,54533
2015-06-05,16.065,16.16,15.925,15.984,17.222405184398085,59676
2015-06-08,16.04,16.11,15.88,15.959,17.209833988533425,46033
2015-06-09,15.92,16.135,15.905,15.957,17.197367978697272,45738
2015-06-10,15.91,16.19,15.895,15.959,17.1850459092575,45246
2015-06-11,15.96,16.04,15.77,15.96,17.1728563977226,49747
2015-06-12,15.98,16.005,15.785,15.825,17.1594448912776,37562
2015-06-15,15.9,16.235,15.81,16.083,17.148733996837027,49646
2015-06-16,16.035,16.105,15.85,15.965,17.136955549107306,33996
2015-06-17,15.965,16.25,15.885,15.947,17.125115195384844,39274
2015-06-18,16.075,16.43,16.02,16.153,17.115442407371063,58280
2015-06-19,16.11,16.19,15.87,16.109,17.105428055058912,36158
2015-06-22,16.1,16.23,15.985,16.142,17.095841706252354,52300
2015-06-23,16.135,16.175,15.67,15.737,17.082320893254817,71688
2015-06-24,15.81,15.885,15.72,15.853,17.070088844565714,48881
2015-06-25,15.85,15.91,15.73,15.808,17.057530746609835,47052
2015-06-26,15.815,15.865,15.45,15.735,17.04437123669332,56759
2015-06-29,15.865,16.04,15.66,15.695,17.030944657223735,52415
2015-06-30,15.77,15.84,15.435,15.581,17.016517347201606,59454
2015-07-01,15.615,15.685,15.5,15.577,17.00219379150806,31339
2015-07-02,15.53,15.755,15.45,15.562,16.98786350502539,35020
2015-07-06,15.715,15.82,15.495,15.753,16.975576305970414,39919
2015-07-07,15.67,15.71,14.62,14.969,16.955610372577674,95490
2015-07-08,15.005,15.22,14.705,15.163,16.937773453447548,65789
2015-07-09,15.11,15.525,14.975,15.361,16.922084165353542,46019
2015-07-10,15.375,15.635,15.34,15.481,16.907745019429626,30252
2015-07-13,15.555,15.9,15.27,15.457,16.893309745604455,37582
2015-07-14,15.48,15.48,15.235,15.315,16.877605171021326,28080
2015-07-15,15.325,15.36,14.96,15.048,16.859400144444,34768
2015-07-16,15.06,15.145,14.845,14.984,16.840739446489334,30835
2015-07-17,14.955,15.005,14.795,14.834,16.820771889807848,27753
2015-07-20,14.83,14.98,14.49,14.758,16.800246796376925,59333
2015-07-21,14.635,14.93,14.615,14.785,16.780194589447802,30462
2015-07-22,14.81,14.865,14.585,14.73,16.759794643284142,34469
2015-07-23,14.74,14.96,14.545,14.701,16.739309124445494,28246
